45,0.0291615,0.0307337,0.020925,0.0238343
50,0.0289065,0.0306311,0.0207361,0.0237163
55,0.0285616,0.0305141,0.0199281,0.0232615
60,0.0292146,0.031377,0.0200297,0.0236421
105,0.0245528,0.0277964,0.0140494,0.0184069
110,0.0241535,0.0274171,0.0135154,0.017867
115,0.0243723,0.0279897,0.0134899,0.0181448
135,0.0220825,0.0262723,0.0105926,0.0153282
45,0.026342,0.0298301,0.0172952,0.0225066
50,0.0259455,0.029625,0.0170615,0.0223475
55,0.0254384,0.0292407,0.0162203,0.0216644
60,0.0257497,0.0299146,0.0160373,0.0217772
90,0.0190138,0.0235437,0.00947797,0.0145193
95,0.0183502,0.0228293,0.00918867,0.0141828
100,0.0169764,0.0211674,0.00815629,0.0127217
105,0.0160006,0.020201,0.00775935,0.0121416
110,0.014281,0.0182192,0.00666209,0.0106534
115,0.0126723,0.0161422,0.0057949,0.00929984
135,0.00228331,0.00302984,0.000901274,0.00153677
