#-------------------------------------------------
#  nA conv  dn  dn+ai  
#-------------------------------------------------
   2 273.00 273.00 273.00  1.000  1.000  1.000
  45 162.00 222.00 234.00  0.593  0.813  0.857
  95  95.00 165.00 185.00  0.347  0.604  0.677
 150  13.00  96.00 130.00  0.047  0.351  0.476
